N330B,63 DR-REGO PARK
N330C,63 DR-REGO PARK
N322,65 ST
R160A,66 ST-LINCOLN
R159,66 ST-LINCOLN
R160,66 ST-LINCOLN
N331,67 AVE
N332,67 AVE
R246,68ST-HUNTER COL
R524,69 ST-FISK AVE
N539A,7 AV-PARK SLOPE
B004,7 AVE
N301,7 AVE-53 ST
N300,7 AVE-53 ST
E009,71 ST
N046,72 ST
R161B,72 ST
R161A,72 ST
R525,74 ST-BROADWAY
N334B,75 AVE
R248,77 ST
R247,77 ST
C024,77 ST
R162,79 ST
R163,79 ST
E011,79 ST
H001,8 AVE
D002,8 AVE
A038,8 ST-B'WAY NYU
A039,8 ST-B'WAY NYU
N044,81 ST-MUSEUM
N045,81 ST-MUSEUM
R526,82 ST-JACKSON H
R164,86 ST
R165,86 ST
R166,86 ST
R250,86 ST
R249,86 ST
N043,86 ST
N042,86 ST
C025,86 ST
C026,86 ST
D016,86 ST
E001,9 AVE
C012,9 ST
R527,90 ST-ELMHURST
R251,96 ST
R168A,96 ST
R168,96 ST
N040,96 ST
N039,96 ST
PTH10,9TH STREET
J020,ALABAMA AVE
R329,ALLERTON AVE
N181A,AQUEDUCT TRACK
N181,AQUEDUCT-N CNDT
R219,ASTOR PLACE
R220,ASTOR PLACE
R610,ATLANTIC AVE
B001,ATLANTIC AVE
B002,ATLANTIC AVE
H035,ATLANTIC AVE
B020,AVE H
N551,AVE I
B021,AVE J
B022,AVE M
N555,AVE N
N554,AVE N
N556,AVE P
B025,AVE U
D015,AVE U
N559,AVE U
N561,AVE X
E016,BAY 50 ST
E014,BAY PARKWAY
D010,BAY PKY-22 AVE
D011,BAY PKY-22 AVE
C023,BAY RIDGE AVE
C027,BAY RIDGE-95 ST
C028,BAY RIDGE-95 ST
R729,BAYCHESTER AVE
N186,BEACH 105 ST
N195,BEACH 25 ST
N194,BEACH 36 ST
N193,BEACH 44 ST
N192,BEACH 60 ST
N191,BEACH 67 ST
N184,BEACH 90 ST
N185,BEACH 98 ST
H009,BEDFORD AVE
N222,BEDFORD PARK BL
N223,BEDFORD PARK BL
R291,BEDFORD PARK BL
N417,BEDFORD/NOSTRAN
N418,BEDFORD/NOSTRAN
R510,BEEBE-39 AVE
R617,BERGEN ST
R618,BERGEN ST
N532,BERGEN ST
N531,BERGEN ST
N533,BERGEN ST
B017,BEVERLEY ROAD
R641,BEVERLY ROAD
R217A,BLEECKER ST
R602,BOROUGH HALL/CT
C001,BOROUGH HALL/CT
R601A,BOROUGH HALL/CT
